stage,unit,p10,p50,p90,mean,minimum,maximum
accelerator_package,rack-scale system,3450.647065932006,3727.49490483945,4018.208605657757,3731.648544530453,3228.821024635805,4245.368043760671
server_assembly,rack-scale system,3450.647065932006,3727.49490483945,4018.208605657757,3731.648544530453,3228.821024635805,4245.368043760671
rack_integration,rack-scale system,283.37291653189357,299.06720393931795,315.2970265278628,299.17296944603345,270.8633361272353,327.7769922560611
shipped,rack-scale system,14.59421276282038,17.94052787268543,21.315524966296813,17.946563498744613,11.38611240714246,25.440572465628282
installed,rack-scale system,14.59421276282038,17.94052787268543,21.315524966296813,17.946563498744613,11.38611240714246,25.440572465628282
operational,rack-scale system,14.59421276282038,17.94052787268543,21.315524966296813,17.946563498744613,11.38611240714246,25.440572465628282
