draw_index,source_hbm_draw_index,logic_package_equivalents,customer_allocated_hbm_stacks,hbm_package_equivalents,package_assembly_start_capacity,package_attempts,package_assembly_yield,finished_accelerator_packages,complete_system_equivalents
21,11474,345571.1497287879,2026326.766779483,253290.84584743538,494148.9273404131,253290.84584743538,0.9606526208992748,243324.514913133,3379.5071515712916
22,13132,438674.9083235935,2537459.420437526,317182.42755469074,432451.9381229884,317182.42755469074,0.9368736277039217,297159.8515470995,4127.2201603763815
23,1513,335470.4528467652,2338112.6368655837,292264.07960819796,457976.8102940569,292264.07960819796,0.9480244366054282,277073.4894105659,3848.2429084800815
24,2636,338144.55886155146,2234955.2145201014,279369.4018150127,476255.1135792874,279369.4018150127,0.9544540219841859,266645.249181655,3703.4062386340975
25,5691,461352.9433609121,2566171.7979825647,320771.4747478206,491591.5484898545,320771.4747478206,0.959766718878601,307865.7858285658,4275.913692063414
26,10142,558600.4316178531,2556345.372046798,319543.17150584975,500645.5720548885,319543.17150584975,0.9629031246441139,307689.1183016727,4273.45997641212
27,19283,355657.5529068721,2201580.445387504,275197.555673438,382538.11071422376,275197.555673438,0.9145514854832837,251682.33334251138,3495.587963090436
28,7901,434474.6550503626,2158220.139099744,269777.517387468,489864.91738471197,269777.517387468,0.9591685963185939,258762.12267085275,3593.9183704285106
29,9969,391180.682911151,2043006.6006168495,255375.8250771062,485239.09885251906,255375.8250771062,0.9575661657737234,244539.24965038567,3396.3784673664677
30,12496,442056.6117417117,2333029.356708097,291628.6695885121,459543.0762657855,291628.6695885121,0.948615933496216,276643.6026359659,3842.2722588328597
31,5286,440295.5097448878,2350597.603900207,293824.7004875259,518565.25571572623,293824.7004875259,0.9691106851553405,284748.6568050289,3954.8424556254013
32,3123,439769.34737496765,2184980.692289814,273122.58653622674,478662.6219406519,273122.58653622674,0.9552880073444919,260910.73145296559,3623.7601590689665
33,5711,319096.25749714096,2249938.889482512,281242.361185314,431605.73845319194,281242.361185314,0.9364951957070812,263382.12007936224,3658.0850011022535
34,19262,442288.7779763403,2430028.805406425,303753.60067580314,429837.4724600669,303753.60067580314,0.9357044031144954,284223.58161423117,3947.5497446420995
35,2099,329404.57980374235,2154036.3095007623,269254.5386875953,428567.43701786693,269254.5386875953,0.9351364259979768,251789.72699205182,3497.079541556275
36,14029,400089.33335263527,2345173.6003193646,293146.7000399206,461137.09990707337,293146.7000399206,0.9492003759885522,278254.95789769595,3864.652193023555
37,11748,558937.7071237147,2366568.695625588,295821.0869531985,467711.5934434256,295821.0869531985,0.9514944597940258,281472.1253262151,3909.33507397521
38,8549,278133.2233385564,2178756.7202275414,272344.5900284427,498867.98833220114,272344.5900284427,0.9622873515796335,262073.75425551116,3639.913253548766
39,1084,460089.33069693344,2345419.7527031754,293177.4690878969,452650.95616335556,293177.4690878969,0.9458762763617342,277309.6127740174,3851.5223996391305
40,7794,500332.84068174043,2383201.319209335,297900.16490116686,494476.04969675647,297900.16490116686,0.9607659394075706,286212.33178093977,3975.1712747352744
41,19322,461724.3762395401,2417967.7877742187,302245.97347177734,439087.8110204984,302245.97347177734,0.9398412802816979,284063.2426677033,3945.322814829213
42,577,379378.1330391871,3136147.679176925,392018.45989711565,417347.7644397867,379378.1330391871,0.9301188358840012,352866.7474622545,4900.927048086868
43,10958,427391.52281778544,2493224.0405238755,311653.00506548444,489876.21846621647,311653.00506548444,0.9591725111280631,298928.9954692677,4151.791603739829
44,4099,439743.5668434012,2854456.7454712465,356807.0931839058,472686.9866311512,356807.0931839058,0.9532179865517804,340114.93895215617,4723.818596557725
45,3915,305249.5689898691,2507618.645712019,313452.33071400237,404577.2137460753,305249.5689898691,0.924407671991752,282175.04344641056,3919.097825644591
46,3768,353390.97048186266,2835060.202823939,354382.52535299235,484780.90830721427,353390.97048186266,0.9574074439129203,338339.1457509464,4699.154802096478
47,13997,424017.3216118872,2384400.0309322854,298050.00386653567,440903.62376008095,298050.00386653567,0.9406533364257212,280361.73055875587,3893.912924427165
48,3783,462612.33674857835,1814119.3764057232,226764.9220507154,434657.469007786,226764.9220507154,0.9378599711008982,212673.7432411814,2953.801989460853
49,7017,532280.5808129768,2032466.7188810431,254058.3398601304,501002.17979731935,254058.3398601304,0.9630266571897664,244664.95376668297,3398.1243578705967
