stage,unit,p10,p50,p90,mean,minimum,maximum
accelerator_package,rack-scale system,329.12386114004835,388.19518306581836,449.4172423890519,389.04620421573253,261.5808458295538,575.1539866848635
server_assembly,rack-scale system,327.8492887604196,373.6628205632056,417.4542442638978,373.24966593652476,261.5808458295538,493.7124095747079
rack_integration,rack-scale system,327.8428543773446,369.0368705771109,407.69328418051015,368.42921090134354,261.5808458295538,468.96469638829853
shipped,rack-scale system,182.47430948956244,224.71383183513313,267.0595916563109,224.7770107577464,143.2362403272281,314.28695251454604
installed,rack-scale system,182.47430948956244,224.71383183513313,267.0595916563109,224.7770107577464,143.2362403272281,314.28695251454604
operational,rack-scale system,171.51613889502494,219.10378582655795,263.1027229982204,217.42109626464307,70.15374267094681,314.28695251454604
