stage,unit,p10,p50,p90,mean,minimum,maximum
accelerator_package,rack-scale system,329.19169807787455,386.6494782788046,448.3103663295926,388.09846532968334,251.78028660763826,578.0137516386008
server_assembly,rack-scale system,327.8954644863717,373.2917788224029,417.32929160397737,372.8669026524628,251.78028660763826,495.6221740410293
rack_integration,rack-scale system,327.8954644863717,368.9798005395724,408.0406786545085,368.1991133881344,251.78028660763826,480.04809505001896
shipped,rack-scale system,180.62215749390927,223.45323387216632,267.81410755288556,223.9527977222731,135.72325103292502,334.891381906212
installed,rack-scale system,180.62215749390927,223.45323387216632,267.81410755288556,223.9527977222731,135.72325103292502,334.891381906212
operational,rack-scale system,170.24064460196263,217.58576816226986,264.1762741758751,216.72172880578117,69.3173340180318,334.891381906212
