stage,unit,p10,p50,p90,mean,minimum,maximum
accelerator_package,rack-scale system,328.8298969427282,387.913604847,449.29235743423584,388.75527496826084,250.31804054394584,546.809771046652
server_assembly,rack-scale system,327.51038822010395,373.149517063918,417.68114716313227,372.91398905185605,250.31804054394584,500.48009165708936
rack_integration,rack-scale system,327.51038822010395,368.72116159626495,408.3838644990049,368.2978949447634,250.31804054394584,482.2130489204244
shipped,rack-scale system,246.59599513141055,305.4758306788043,356.2123137290439,303.42129591598973,178.184039628435,425.8273335270501
installed,rack-scale system,246.59599513141055,305.4713616938705,353.20203707492567,302.4632122687996,178.184039628435,419.0515362571822
operational,rack-scale system,204.23819205906747,286.76289554167704,342.6530281062592,278.9325977987349,71.4370505151745,409.9698100143089
