stage,unit,p10,p50,p90,mean,minimum,maximum
accelerator_package,rack-scale system,3457.3643607603913,3733.6647621921747,4016.7662823291103,3735.911432101522,3236.9556140910627,4247.943262267302
server_assembly,rack-scale system,357.770892149644,401.02751747742934,447.55175556551205,402.0839612399053,309.86942730748456,519.5963738263365
rack_integration,rack-scale system,352.61593751320663,388.8997625244647,427.07878896992924,389.63498763121737,309.86942730748456,488.27512793928753
shipped,rack-scale system,180.591629063855,223.4887214583161,267.9393772351908,224.18560411152868,135.5995281287277,333.96787166649483
installed,rack-scale system,180.591629063855,223.4887214583161,267.9393772351908,224.18560411152868,135.5995281287277,333.96787166649483
operational,rack-scale system,170.5752099638286,217.85420397409456,263.66244772278907,216.78679385727193,69.32320381251132,329.4256153376945
