stage,unit,p10,p50,p90,mean,minimum,maximum
accelerator_package,rack-scale system,3227.0710139075877,3718.269397320799,4253.052632242979,3730.6274640327,2446.2348260325944,5247.319262436234
server_assembly,rack-scale system,3227.0710139075877,3718.269397320799,4253.052632242979,3730.6274640327,2446.2348260325944,5247.319262436234
rack_integration,rack-scale system,270.6608944898074,298.8618612699695,328.27801142439046,299.326128462148,226.3419413073522,384.3557080907543
shipped,rack-scale system,14.335490614460372,17.846640570938916,21.72595130403613,17.961281747804843,10.074285000463735,28.664642426321112
installed,rack-scale system,14.335490614460372,17.846640570938916,21.72595130403613,17.961281747804843,10.074285000463735,28.664642426321112
operational,rack-scale system,12.830555128726585,17.560848133940496,21.595080919941473,16.58928792375431,0.0,28.664642426321112
