stage,unit,p10,p50,p90,mean,minimum,maximum
accelerator_package,rack-scale system,292.4118183826434,336.448267953458,381.2308552532618,336.7267867553877,231.27340149457166,475.86020373228865
server_assembly,rack-scale system,292.4118183826434,335.96294962901106,377.4522002083224,335.4279397985754,231.27340149457166,464.4060035039183
rack_integration,rack-scale system,292.4118183826434,335.93405571400126,375.36534802294824,334.7659185945102,231.27340149457166,453.9210889082921
shipped,rack-scale system,292.4118183826434,334.90920412330905,371.2234886985429,333.1725047691524,231.27340149457166,436.4050634846071
installed,rack-scale system,292.4118183826434,332.5809621771525,366.66378868562083,330.9620584775406,231.27340149457166,436.4050634846071
operational,rack-scale system,285.2585649073487,322.2281456141573,357.7696338940474,321.87848075721666,231.27340149457166,421.1859085414113
